region	t	df	p	p_fdr	stat_str	stat_str_fdr
HG	6.93	11	p < .001	p < .001	t(11) = 6.93, p < .001	t(11) = 6.93, q < .001
PP	7.78	11	p < .001	p < .001	t(11) = 7.78, p < .001	t(11) = 7.78, q < .001
PT	7.66	11	p < .001	p < .001	t(11) = 7.66, p < .001	t(11) = 7.66, q < .001
ParsOp	4.01	11	p < .001	p < .001	t(11) = 4.01, p < .001	t(11) = 4.01, q < .001
ParsTri	-0.11	11	p = .916	p = .916	t(11) = -0.11, p = .916	t(11) = -0.11, q = .916
STGa	7.74	11	p < .001	p < .001	t(11) = 7.74, p < .001	t(11) = 7.74, q < .001
STGp	9.70	11	p < .001	p < .001	t(11) = 9.70, p < .001	t(11) = 9.70, q < .001
