region	t	df	p	p_fdr	stat_str	stat_str_fdr
NAc-core	-0.14	11	p = .892	p = .892	t(11) = -0.14, p = .892	t(11) = -0.14, q = .892
NAc-shell	-2.46	11	p = .032	p = .079	t(11) = -2.46, p = .032	t(11) = -2.46, q = .079
aCAU	-4.03	11	p = .002	p = .012	t(11) = -4.03, p = .002	t(11) = -4.03, q = .012
aPUT	-0.50	11	p = .627	p = .752	t(11) = -0.50, p = .627	t(11) = -0.50, q = .752
pCAU	-1.81	11	p = .098	p = .147	t(11) = -1.81, p = .098	t(11) = -1.81, q = .147
pPUT	-2.34	11	p = .039	p = .079	t(11) = -2.34, p = .039	t(11) = -2.34, q = .079
