region	t	df	p	p_fdr	stat_str	stat_str_fdr
HG	0.51	11	p = .613	p = .830	t(11) = 0.51, p = .613	t(11) = 0.51, q = .830
PP	-0.64	11	p = .526	p = .830	t(11) = -0.64, p = .526	t(11) = -0.64, q = .830
PT	1.65	11	p = .108	p = .340	t(11) = 1.65, p = .108	t(11) = 1.65, q = .340
ParsOp	-0.22	11	p = .830	p = .830	t(11) = -0.22, p = .830	t(11) = -0.22, q = .830
ParsTri	-0.37	11	p = .716	p = .830	t(11) = -0.37, p = .716	t(11) = -0.37, q = .830
STGa	2.45	11	p = .019	p = .135	t(11) = 2.45, p = .019	t(11) = 2.45, q = .135
STGp	1.49	11	p = .146	p = .340	t(11) = 1.49, p = .146	t(11) = 1.49, q = .340
