Contrast	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
Axis	Caudal	Rostral	-5.58	11.0	p < .001	p < .001	t(11) = -5.58, p < .001	t(11) = -5.58, q < .001
Axis	Caudal	Ventral	-0.95	11.0	p = .362	p = .362	t(11) = -0.95, p = .362	t(11) = -0.95, q = .362
Axis	Rostral	Ventral	3.67	11.0	p = .004	p = .006	t(11) = 3.67, p = .004	t(11) = 3.67, q = .006
hemisphere	lh	rh	-0.52	11.0	p = .611	n/a	t(11) = -0.52, p = .611	t(11) = -0.52, q = nan
Axis * hemisphere	lh	rh	0.98	11.0	p = .349	p = .523	t(11) = 0.98, p = .349	t(11) = 0.98, q = .523
Axis * hemisphere	lh	rh	-0.29	11.0	p = .777	p = .777	t(11) = -0.29, p = .777	t(11) = -0.29, q = .777
Axis * hemisphere	lh	rh	-1.89	11.0	p = .086	p = .258	t(11) = -1.89, p = .086	t(11) = -1.89, q = .258
