region	t	p	p_val_fdr	df	p_fdr	stat_str	stat_str_fdr
NAc-core	6.50	p < .001	5.102607533161557e-07	11	p < .001	t(11) = 6.50, p < .001	t(11) = 6.50, q < .001
NAc-shell	4.47	p < .001	0.00011686267754687576	11	p < .001	t(11) = 4.47, p < .001	t(11) = 4.47, q < .001
aCAU	4.69	p < .001	8.154847779387006e-05	11	p < .001	t(11) = 4.69, p < .001	t(11) = 4.69, q < .001
aPUT	9.51	p < .001	1.8492305807170233e-10	11	p < .001	t(11) = 9.51, p < .001	t(11) = 9.51, q < .001
pCAU	3.22	p = .003	0.0028024403766310066	11	p = .003	t(11) = 3.22, p = .003	t(11) = 3.22, q = .003
pPUT	3.88	p < .001	0.0005266952541155811	11	p < .001	t(11) = 3.88, p < .001	t(11) = 3.88, q < .001
